1692995781,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995782,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/axis2-admin/login' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995783,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/axis2-admin/login' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995783,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/axis2-admin/login' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995785,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995786,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995808,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/admin/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995809,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/admin/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995809,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/admin/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995810,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/admin/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995811,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/adm/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995812,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/adm/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995813,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/administration/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995814,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/administration/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995815,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/administration/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995815,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/administration/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995819,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/admin.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995820,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/admin.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995822,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/admin.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995823,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/admin.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995872,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/src/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995873,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/src/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995873,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/src/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995874,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/src/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995876,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/common/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995877,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/common/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995878,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/common/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995878,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/common/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995880,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/config/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995881,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/config/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995881,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/config/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995883,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/config/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995885,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/css/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995886,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/css/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995887,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/css/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995932,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/docs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995932,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/docs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995934,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/docs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995935,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/external/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995936,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/external/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995937,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/external/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995939,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/history/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995940,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/history/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995941,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/include/' (BESUtil.cc:298), current memory usage is 7643008 KB.
