1692995783,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/axis2-admin/login' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995809,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/admin/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995810,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/admin/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995811,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/adm/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995811,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/adm/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995812,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/adm/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995813,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/administration/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995814,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/administration/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995818,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/admin.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995820,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/admin.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995823,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/admin.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995873,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/src/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995877,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/common/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995879,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/common/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995880,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/config/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995882,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/config/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995884,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/css/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995885,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/css/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995888,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/css/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995931,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/docs/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995933,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/docs/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995933,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/docs/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995935,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/external/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995936,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/external/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995937,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/external/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995938,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/history/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995940,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/history/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995940,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/history/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995943,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/include/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995944,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/include/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995946,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/includes/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995948,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/includes/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995950,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/js/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995952,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/js/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995954,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/js/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995993,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/lib/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692995995,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/lib/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996000,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/test.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996002,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/test.jsp' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996007,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/bin/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996008,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/bin/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996010,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/bin/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996125,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996137,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/dated/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996223,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996227,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996233,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996257,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996262,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692996283,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1693010064,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/ngap/collections/C1238392622-EEDTEST/granules/f16_ssmis_20210425v7.nc.dap' (BESUtil.cc:298), current memory usage is 7264856 KB.
1693010179,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/ngap/collections/C1245662776-EEDTEST/granules/M2T1NXSLV.5.12.4:MERRA2_400.tavg1_2d_slv_Nx.20210609.nc4.dap.nc4' (BESUtil.cc:298), current memory usage is 7264856 KB.
1693010662,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/ngap/collections/C1245804308-EEDTEST/granules/NorthSlope_NEE_TVPRM.TVPRM_IVO_BES_ABoVE-LC_NARR_GOSIF_2008.nc4.dap' (BESUtil.cc:298), current memory usage is 7264856 KB.
1693227465,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/ngap/collections/C1245618475-EEDTEST/granules/GPM_3IMERGHH.06:3B-HHR.MS.MRG.3IMERG.20200101-S000000-E002959.0000.V06B.HDF5.dap' (BESUtil.cc:298), current memory usage is 7264856 KB.
1693227490,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/ngap/collections/C1245618475-EEDTEST/granules/GPM_3IMERGHH.06:3B-HHR.MS.MRG.3IMERG.20200118-S190000-E192959.1140.V06B.HDF5' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692827049,499,error,CredentialsManager::load_credentials() - CredentialsManager config file /etc/bes/credentials.conf was specified but is not present.
1692835104,499,error,ERROR: BES User Syntax Error: This dataset contains variables and/or attributes whose data types are not compatible with the 
1692892106,499,error,ERROR: BES Not Found Error: The specified path 'collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap4' does not identify a granule in CMR. (NgapApi.cc:325), current memory usage is 1209508 KB.
1692909829,499,error,ERROR: BES User Syntax Error: This dataset contains variables and/or attributes whose data types are not compatible with the 
1692918215,499,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692918215,499,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7138696 KB.
1692920811,499,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692920811,499,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7138696 KB.
1692923080,499,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692923080,499,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7138696 KB.
1692926157,499,error,ERROR: BES Internal Error: Failed to acquire byte buffer from which to read string array data. (DmrppArray.cc:1727), current memory usage is 7138696 KB.
